Model,F1_Weighted,F1_Macro,Precision,Recall,Accuracy,ROC_AUC
LogisticRegression,0.8396815285933369,0.235394548953871,0.795479965948293,0.8890843006214093,0.8890843006214093,0.6780657948309795
RandomForest,0.842184936757767,0.24214940470918683,0.8411144157793498,0.8923672177277524,0.8923672177277524,0.6832224931594355
XGBoost,0.8449984062464345,0.25718817186697446,0.8601848641845057,0.8918982295697033,0.8918982295697033,0.7003568528484719
LightGBM,0.8445234773434336,0.2585836698859939,0.85284192573442,0.8903740180560441,0.8903740180560441,0.6955704661610254
KNN,0.8421606885319917,0.26651378187757746,0.8167408148351791,0.8824012193692109,0.8824012193692109,0.599487944230906
